File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\dev\dsgenie\price_check\bot.inc,"price_check_bot_run_bot($form, &$form_state)",16,16,15,1,0,0,0,0,
C:\dev\dsgenie\price_check\bot.inc,"price_check_bot_log_message(&$bot, $message)",10,10,9,1,0,0,0,0,
C:\dev\dsgenie\price_check\bot.inc,price_check_bot_queue_atom_1($params),120,117,98,15,1,0,2,7,
C:\dev\dsgenie\price_check\common.inc,price_check_chooseRandomBrowserAndOS(),42,42,14,3,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_array_random(array $array),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_nt_version(),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_ie_version(),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_trident_version(),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_osx_version(),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_chrome_version(),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_presto_version(),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_presto_version2(),2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_firefox($arch),18,18,8,4,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_safari($arch),18,16,11,4,0,0,2,41,
C:\dev\dsgenie\price_check\common.inc,price_check_iexplorer($arch),10,10,6,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_opera($arch),16,16,8,3,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_chrome($arch),14,14,9,4,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_random_uagent(array $lang=array('en-US')),27,27,19,7,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_strip_tags($html),8,8,4,1,0,4,0,16,
C:\dev\dsgenie\price_check\common.inc,price_check_make_table_row($items),8,8,7,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,"price_check_make_link($link, $text, $prompt = false, $prompt_text = ""Are you sure?"")",5,5,5,2,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_force_json_array($item),3,3,3,2,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,"price_check_sql_insert_field($field, $table, $ext)",2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,"price_check_sql_select_empty_field($field, $table, $bundle)",2,2,2,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_get_item_template_from_ebay_id_old($ebay_id),6,6,6,2,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_get_item_template_from_ebay_id($ebay_id),11,11,8,2,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_get_blacklist($lower = false),17,17,9,2,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_revise_ebay_item($item_template),16,16,14,2,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_modify_item_ajax(),32,32,16,2,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,"price_check_modify_item_request($nid, $subscriber, $auth_code, $params, &$context)",11,11,9,1,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,"price_check_modify_item_finished($success, $results, $operations)",4,4,3,0,0,0,0,0,
C:\dev\dsgenie\price_check\common.inc,price_check_clean_work_item(&$work),4,4,3,1,0,0,0,0,
