local_id,vendor_url,vendor_variant,vendor_stock,vendor_price,vendor_shipping,reference,compare_url,compare_variant,compare_stock,compare_price,compare_shipping,profit_formula,selling_formula,reprice_store,reprice_sku,reprice_pause
1798036,http://www.walmart.com/ip/45804384,,1,0,0,,#1458433302656,,,0,0,,,,,0
1798079,http://www.amazon.com/Sauder-August-Corner-Entertainment-Finish/dp/B004HLZTN6,,1,104.56,0,,#14584338095013,,,0,0,,,,,0
1798082,http://www.wayfair.com/Hokku-Designs-Zac-71-Bookcase-ZOK-199CML-KUI2080.html,Black,0,181.99,0,,#1458433904209,,,0,0,,,,,0
1798085,http://www.amazon.com/SKELL-INC-2-0-BUG-A-SALT/dp/B00STSZ77G/ref=sr_1_2?ie=UTF8&qid=1427182793&sr=8-2&keywords=salt+gun,,1,48.91,5.99,,#14584341493629,,,0,0,,,,,0
1798094,http://www.walmart.com/ip/MuscleTech-Pro-Series-Myobuild-4X-Amino-BCAA-Fruit-Punch-Blast-Dietary-Supplement-11.71-oz/47375937,,1,19.97,4.97,,#1458434463217,,,0,0,,,,,0
1798142,http://www.walmart.com/ip/12516992,,1,17.88,4.97,,#14584358833648,,,0,0,,,,,0
1798145,http://www.walmart.com/ip/10452571,,1,21.05,0,,#14584360571094,,,0,0,,,,,0
1840266,http://www.wayfair.com/Hokku-Designs-Braxton-Coffee-Table-KUI2064.html?redir=kui2064&rtype=8&dept=&ust=KUI2064,White,0,0,4.99,,#14586072071908,,,0,0,,,,,0
1840353,http://www.walmart.com/ip/SentrySafe-SFW123ES-1.2-cu-ft-Electronic-Fire-Safe/17290103,,1,137.78,0,,#14609426519680,,,0,0,,,,,0
1840367,http://www.walmart.com/ip/Children-s-Benadryl-Cherry-flavored-Allergy-4-fl-oz/10849236,,1,8.53,0,,#1458607386673,,,0,0,,,,,0
1840370,http://www.walmart.com/ip/Children-s-Benadryl-Cherry-flavored-Allergy-4-fl-oz/10849236?action=product_interest&action_type=title&item_id=10849236&placement_id=irs-2-m3&strategy=PWBAB&visitor_id&category=&client_guid=ca149a95-3c67-4168-905e-239a5b29ea54&customer_id_enc&config_id=2&parent_item_id=10452571&parent_anchor_item_id=10452571&guid=18cc7ca7-9531-4444-b5f5-d4465894e0e8&bucket_id=irsbucketdefault&beacon_version=1.0.1&findingMethod=p13n,,1,8.53,0,,#14586076331194,,,0,0,,,,,0
1840371,http://www.walmart.com/ip/Pediacare-Children-s-Grape-Flavor-Fever-Reducer-Pain-Reliever-Plus-Multi-Sympton-Cold-4-oz/17248577?action=product_interest&action_type=title&item_id=17248577&placement_id=irs-2-m3&strategy=PWBAB&visitor_id&category=&client_guid=d46bb616-9476-430f-8367-f142a82dedda&customer_id_enc&config_id=2&parent_item_id=10849236&parent_anchor_item_id=10849236&guid=56b14864-a0ae-4b19-88d0-bd0e17bc7f78&bucket_id=irsbucketdefault&beacon_version=1.0.1&findingMethod=p13n,,0,0,4.97,,#14586079443172,,,0,0,,,,,0
1840373,http://www.walmart.com/ip/Pediacare-Children-s-Grape-Flavor-Fever-Reducer-Pain-Reliever-Plus-Multi-Sympton-Cold-4-oz/17248577,,0,0,4.97,,#14586080446762,,,0,0,,,,,0
1841422,http://www.walmart.com/ip/Healthtex-Baby-Toddler-Girl-Knit-Tunic-and-Leggings-Outfit-Set/11089113?reviews_limit=15&,,1,29.97,4.97,,#14586149242636,,,0,0,,,,,0
1841453,http://www.walmart.com/ip/Vogue-Microfiber-Reversible-Chaise-Sectional-Sofa-Multiple-Colors/15162454?reviews_limit=15&,,1,342.05,19.97,,#14586149696840,,,0,0,,,,,0
1841454,http://www.walmart.com/ip/Vogue-Microfiber-Reversible-Chaise-Sectional-Sofa-Multiple-Colors/15162454?reviews_limit=15&,Red,1,340.77,19.97,,#14586149994115,,,0,0,,,,,0
1841461,http://www.sears.com/fat-wrench-10-bit-set/p-00636015000P,,1,44.19,1,,#14586151837532,,,0,0,,,,,0
1841479,http://www.overstock.com/Bedding-Bath/Luxor-Treasures-Egyptian-Cotton-400-Thread-Count-Deep-Pocket-Stripe-Sheet-Set/6070502/product.html?refccid=C6ZF4EHRQ3JKRBSCV4MCOA7B5E&searchidx=0,,1,44.99,2.95,,#14586155362890,,,0,0,,,,,0
1841499,,,0,0,0,,#14610542486089,,,0,0,,,,,0
1841535,http://www.ebay.com/itm/301896301089?ssPageName=STRK:MESOX:IT&_trksid=p3984.m1561.l2649,,1,51.99,0,,#14586153915964,,,0,0,,,,,0
1841537,http://www.amazon.com/dp/B005TOX57M/ref=twister_B00W5CVJ4M?_encoding=UTF8&psc=1,,1,52.99,0,,#14586155541471,,,0,0,,,,,0
1841539,http://www.amazon.com/GoPro-Dual-Battery-Charger-HERO4/dp/B00NIYJKL0/ref=redir_mobile_desktop?ie=UTF8&dpID=31cHsDRLizL&dpSrc=sims&preST=_AC_UL100_SR100%2C100_,,1,49,0,,#14586156054027,,,0,0,,,,,0
1841562,http://www.amazon.com/Graco-Playard-Cuddle-Rocking-Rittenhouse/dp/B00B2N0E3M/ref=sr_1_1_a_it?ie=UTF8&qid=1458614334&sr=8-1&keywords=Graco+Pack+%27n+Play+Playard+with+Cuddle+Cove+Rocking+Seat+%28Rittenhouse%29,,1,179.99,0,,#14586160544108,,,0,0,,,,,0
1841564,http://www.walmart.com/ip/Fisher-Price-Rainforest-Healthy-Care-High-Chair/15443717,,1,103.88,0,,#14586161259021,,,0,0,,,,,0
1841675,"Fisher-Price - Rainforest Healthy Care High Chair",,0,0,0,,#14586162541438,,,0,0,,,,,0
1841685,http://www.overstock.com/Home-Garden/Comfort-Dreams-Select-A-Firmness-11-inch-Queen-size-Memory-Foam-Mattress/3158654/product.html,,1,462.43,0,,#14586167009253,,,0,0,,,,,0
1841791,http://www.overstock.com/Home-Garden/Comfort-Dreams-Select-A-Firmness-11-inch-Queen-size-Memory-Foam-Mattress/3158654/product.html,soft,1,439.99,0,,#14586167202962,,,0,0,,,,,0
1841844,http://www.walmart.com/ip/Mainstays-Stanton-Cushioned-4-Piece-Patio-Conversation-Set-Red-Seats-4/22138818,,1,0,0,,#14586172409003,,,0,0,,,,,0
1841847,http://www.wayfair.com/Delia-Neon-Button-Back-Arm-Chair-ALCT1923-ALCT1923.html,,0,209.99,0,,#1458617442595,,,0,0,,,,,0
1841850,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,0,153.99,0,,#14586176206166,,,0,0,,,,,0
1841852,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,,1,153.99,0,,#14586810506930,,,0,0,,,,,0
1841856,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,Brown,0,153.99,0,,#14586812666262,,,0,0,,,,,0
1841860,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,Ivory,1,153.99,0,,#14586814118966,,,0,0,,,,,0
1841891,http://www.wayfair.com/Erica-Studded-Arm-Chair-THRE3511-THRE3511.html,teal,0,228.99,0,,#14586180515047,,,0,0,,,,,0
1841899,http://www.wayfair.com/Porter-Club-Chair-THRE1440-THRE1440.html,gray,0,299.99,0,,#14586181403108,,,0,0,,,,,0
1841900,http://www.wayfair.com/Porter-Club-Chair-THRE1440-THRE1440.html,oatmeal,1,299.99,0,,#14586181677806,,,0,0,,,,,0
1841904,http://www.amazon.com/Breckelles-T-Strap-Platform-Sandals-Premium/dp/B00SNYB9R8/ref=sr_1_20?s=apparel&ie=UTF8&qid=1458618156&sr=1-20&nodeID=679337011&keywords=heels,-,0,26.55,0,,,,,0,0,,,,,0
1841907,http://www.amazon.com/Breckelles-T-Strap-Platform-Sandals-Premium/dp/B00SNYB9R8/ref=sr_1_20?s=apparel&ie=UTF8&qid=1458618156&sr=1-20&nodeID=679337011&keywords=heels,,1,24.35,0,,#14586830337242,,,0,0,,,,,0
1841989,http://www.amazon.com/Breckelles-T-Strap-Platform-Sandals-Premium/dp/B00SNYB9R8/ref=sr_1_20?s=apparel&ie=UTF8&qid=1458618156&sr=1-20&nodeID=679337011&keywords=heels,"6 B(M) US|Black",1,23.8,0,,#14586190765162,,,0,0,,,,,0
1841992,http://www.amazon.com/Breckelles-T-Strap-Platform-Sandals-Premium/dp/B00SNYB9R8/ref=sr_1_20?s=apparel&ie=UTF8&qid=1458618156&sr=1-20&nodeID=679337011&keywords=heels,"Black|6 B(M) US",1,23.8,0,,#14586191275570,,,0,0,,,,,0
1842741,http://www.hayneedle.com/product/bullshooterbyarachnidebristle1000electronicdartboard.cfm,,0,140.99,0,,#14586214959495,,,0,0,,,,,0
1842875,http://www.kmart.com/ematic-10inch-quad-core-tablet-with-16gb-and/p-020W008428717001P,,1,99.99,1,,#14586308906130,,,0,0,,,,,0
1842942,"Winsome Verona Storage Bench, Walnut with Black Baskets",Black,0,0,0,,#14586279582577,,,0,0,,,,,0
1842944,http://www.amazon.com/gp/product/B001E95R40,Walnut/Chocolate,1,155.38,0,,#14586280303246,,,0,0,,,,,0
1842978,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,Green,1,154.99,0,,#14586813674110,,,0,0,,,,,0
1842979,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,Green+$18.00,0,153.99,0,,#14586290035319,,,0,0,,,,,0
1842981,http://www.wayfair.com/Wade-Arm-Chair-VKGL1851-VKGL1851.html,Blue,0,153.99,0,,#14586291576505,,,0,0,,,,,0
1843057,http://www.kmart.com/vivitar-60x-120x-refractor-telescope-with-tripod/p-020V007287892000P?prdNo=4&blockNo=4&blockType=G4,,0,0,1,,#14586308173612,,,0,0,,,,,0
1843102,http://www.wayfair.com/Alex-Upholstered-Headboard-ZIPC1301-ZIPC1301.html,,1,66.99,0,,#14609315212108,,,0,0,,,,,0
1844700,http://www.walmart.com/ip/Altra-Craft-Desk-White/20629136?action=product_interest&action_type=title&item_id=20629136&placement_id=irs-2-m2&strategy=PWVUB&visitor_id&category=&client_guid=c445a00f-5b42-427b-b26d-eb7b6f8490d8&customer_id_enc&config_id=2&par,,1,132.29,0,,#14586504385448,,,0,0,,,,,0
1844902,http://www.kmart.com/first-alert-3060f-steel-key-cabinet/p-00912985000P?sid=KAx20061023x272xTier3&aff=Y&PID=3640578&AID=11042397,,1,19.99,1,,#14586515222116,,,0,0,,,,,0
1845929,http://www.overstock.com/Health-Beauty/Ovente-Double-sided-LED-Cosmetic-Mirror-with-1x-5x-Magnification/8924000/product.html?refccid=JXNJPY3TT4FIMZSNIQFM5Q3RW4&searchidx=3,,1,23.69,2.95,,#14586551828045,,,0,0,,,,,0
1845970,http://ads.midwayusa.com/product/744442/plano-gun-guard-all-weather-tactical-series-rifle-case-polymer-black?cm_mmc=pf_ci_ebay-_-Shooting%20-%20Cases-_-Plano-_-744442&sdc_id=eBay,,0,0,0,,#14586561417256,,,0,0,,,,,0
1846012,http://www.amazon.com/gp/product/B000I1RSNS/ref=s9_simh_gw_g60_i2_r?ie=UTF8&fpl=fresh&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=desktop-1&pf_rd_r=1P2VNMXBPSN918XQK71B&pf_rd_t=36701&pf_rd_p=2437869742&pf_rd_i=desktop,,1,5.48,0,,#14586570916627,,,0,0,,,,,0
1846059,http://www.wayfair.com/Newdale-Coffee-Table-with-Lift-Top-LOON1653-LOON1653.html,,1,153.99,0,,#14586574218170,,,0,0,,,,,0
1846453,http://www.bedbathandbeyond.com/store/product/amelia-tufted-ottoman/3274046,,1,69.99,0,,#14586724212458,,,0,0,,,,,0
1847052,http://www.wayfair.com/Earth-Tone-Resin-Cast-Saint-Francis-Statue-with-Bird-Feeder-51072-PLHE1417.html,,1,87.99,0,,#1458663433265,,,0,0,,,,,0
1847079,http://www.amazon.com/GE-Motion-Tracking-Security-Spotlight-Technology/dp/B008O0LMLO,,1,54.99,12.5,,#14586631295399,,,0,0,,,,,0
1847081,http://www.walmart.com/ip/Coleman-ATV-Rear-Padded-Bottom-Bag-Black/16777866,,1,0,0,,#14602628064334,,,0,0,,,,,0
